"Name","Start Year","End Year","Era Label","is_circa","is_active","Score"
"Agadir (granary)","900","1000.0","10th century","False","False","0"
"Cave paintings in India","900","1000.0","10th century","False","False","3"
"Chinese painting","907","1127.0","907–1127","False","False","3"
"Bernward Doors","938","1022.0","938–1022","False","False","0"
"Al-Azhar University","970","","c. 970","True","False","0"
"Cyparissus (Vignali)","994","1.0","994–1","False","False","0"
"Apotheosis of Saint Sebastian","994","1.0","994–1","False","False","0"
"Château de Ballaison","1000","1100.0","11th century","False","False","0"
"Château de Charousse","1000","1100.0","11th century","False","False","0"
"Château de Faucigny","1000","1100.0","11th century","False","False","0"
"Arab Baths (Ceuta)","1000","1100.0","11th century","False","False","0"
"Bayeux Tapestry","1000","1100.0","11th century","False","False","0"
"Crusader art","1000","1100.0","11th century","False","False","0"
"Archeological Site 3NW79","1000","1500.0","1000–1500","False","False","3"
"Celtic brooch","1000","1100.0","11th century","False","False","0"
"Austrian walled towns","1000","1100.0","11th century","False","False","0"
"Brussels Cross","1000","1100.0","11th century","False","False","0"
"Azelin chandelier","1000","1100.0","11th century","False","False","0"
"Bell shrine","1000","1100.0","11th century","False","False","6"
"11th-century Byzantine domes","1000","1100.0","11th century","False","False","3"
"1000s in art","1000","","1000s","False","False","0"
"Chew Valley hoard","1000","1100.0","11th century","False","False","3"
"1010s in art","1010","","1010s","False","False","0"
"1020s in art","1020","","1020s","False","False","0"
"1030s in art","1030","","1030s","False","False","0"
"1040s in art","1040","","1040s","False","False","0"
"1050s in art","1050","","1050s","False","False","0"
"1060s in art","1060","","1060s","False","False","0"
"1070s in art","1070","","1070s","False","False","0"
"1080s in art","1080","","1080s","False","False","0"
"1090s in art","1090","","1090s","False","False","0"
"Byzantine silk","1100","1200.0","12th century","False","False","0"
"Byzantine enamel","1100","1200.0","12th century","False","False","0"
"Cave of the Patriarchs","1100","1200.0","12th century","False","False","0"
"12th-century Byzantine domes","1100","1200.0","12th century","False","False","3"
"Buhaira Gardens","1100","1200.0","12th century","False","False","3"
"Brown Bluff (Washington County, Arkansas)","1100","1600.0","1100–1600","False","False","3"
"Cross of Adelheid","1100","1200.0","12th century","False","False","0"
"Clochán","1100","1200.0","12th century","False","False","0"
"Atsumi Kiln","1100","1200.0","12th century","False","False","3"
"Cappella Palatina","1100","1200.0","12th century","False","False","0"
"Cong Abbey","1200","1300.0","13th century","False","False","0"
"Dastangoi","1200","1300.0","13th century","False","False","0"
"Codex Gigas","1200","1300.0","13th century","False","False","0"
"Château de Sallanches","1200","1300.0","13th century","False","False","0"
"Bodrumkale","1200","1300.0","13th century","False","False","0"
"Art of the Seljuks of Iran","1200","1300.0","13th century","False","False","0"
"1200s in art","1200","","1200s","False","False","0"
"Château de Montastruc","1200","1300.0","13th century","False","False","0"
"Close studding","1200","1300.0","13th century","False","False","0"
"Châteaux de Ternier","1200","1300.0","13th century","False","False","0"
"Bayon","1200","1300.0","13th century","False","False","0"
"Debased heraldry","1200","1215.0","1200–1215","False","False","0"
"Burgher arms","1200","1300.0","13th century","False","False","0"
"1210s in art","1210","","1210s","False","False","0"
"Baptistère de Saint Louis","1214","1270.0","1214–1270","False","False","0"
"1220s in art","1220","","1220s","False","False","0"
"Cibola White Ware","1225","1325.0","1225–1325","False","False","0"
"1230s in art","1230","","1230s","False","False","0"
"Arabic miniature","1236","1237.0","1236–1237","False","False","0"
"1240s in art","1240","","1240s","False","False","0"
"1250s in art","1250","","1250s","False","False","0"
"1260s in art","1260","","1260s","False","False","0"
"Ali Khan Vali","1262","1318.0","1262–1318","False","False","0"
"1270s in art","1270","","1270s","False","False","0"
"1280s in art","1280","","1280s","False","False","0"
"1290s in art","1290","","1290s","False","False","0"
"Court of the Myrtles","1300","1400.0","14th century","False","False","0"
"Cross of Alcoraz","1300","1400.0","14th century","False","False","0"
"Cross of Lothair","1300","1400.0","14th century","False","False","0"
"Commesso","1300","1400.0","14th century","False","False","0"
"Bingata","1300","1400.0","14th century","False","False","0"
"Chiaramontan Gothic architecture","1300","1400.0","14th century","False","False","0"
"African ivories","1300","1400.0","14th century","False","False","0"
"Danse Macabre","1300","1400.0","14th century","False","False","3"
"Bramall Hall","1300","1400.0","14th century","False","False","0"
"1300s in art","1300","","1300s","False","False","0"
"1310s in art","1310","","1310s","False","False","0"
"1320s in art","1320","","1320s","False","False","0"
"1330s in art","1330","","1330s","False","False","0"
"1340s in art","1340","","1340s","False","False","0"
"Death of the Virgin Mary of Košátky","1340","1350.0","1340–1350","False","False","0"
"1350s in art","1350","","1350s","False","False","0"
"1360s in art","1360","","1360s","False","False","0"
"1370s in art","1370","","1370s","False","False","0"
